"bin","f  "
320,1.49583E-02
321,1.52520E-02
322,1.55514E-02
323,1.58567E-02
324,1.61680E-02
325,1.64854E-02
326,1.68091E-02
327,1.71391E-02
328,1.74756E-02
329,1.78187E-02
330,1.81685E-02
331,1.85252E-02
332,1.88889E-02
333,1.92597E-02
334,1.96378E-02
335,2.00234E-02
336,2.04165E-02
337,2.08173E-02
338,2.12260E-02
339,2.16427E-02
340,2.20676E-02
341,2.25009E-02
342,2.29426E-02
343,2.33931E-02
344,2.38523E-02
345,2.43206E-02
346,2.47981E-02
347,2.52849E-02
348,2.57813E-02
349,2.62875E-02
350,2.68036E-02
351,2.73298E-02
352,2.78664E-02
353,2.84135E-02
354,2.89713E-02
355,2.95401E-02
356,3.01200E-02
357,3.07113E-02
358,3.13143E-02
359,3.19291E-02
360,3.25559E-02
361,3.31951E-02
362,3.38468E-02
363,3.45113E-02
364,3.51888E-02
365,3.58797E-02
366,3.65841E-02
367,3.73023E-02
368,3.80347E-02
369,3.87814E-02
370,3.95427E-02
371,4.03191E-02
372,4.11106E-02
373,4.19177E-02
374,4.27407E-02
375,4.35798E-02
376,4.44354E-02
377,4.53078E-02
378,4.61973E-02
379,4.71043E-02
380,4.80290E-02
381,4.89720E-02
382,4.99334E-02
383,5.09137E-02
384,5.19133E-02
385,5.29325E-02
386,5.39717E-02
387,5.50313E-02
388,5.61117E-02
389,5.72133E-02
390,5.83366E-02
391,5.94818E-02
392,6.06496E-02
393,6.18403E-02
394,6.30544E-02
395,6.42923E-02
396,6.55546E-02
397,6.68416E-02
398,6.81538E-02
399,6.94919E-02
400,7.08562E-02
401,7.22473E-02
402,7.36657E-02
403,7.51119E-02
404,7.65865E-02
405,7.80901E-02
406,7.96232E-02
407,8.11865E-02
408,8.27804E-02
409,8.44055E-02
410,8.60626E-02
411,8.77523E-02
412,8.94751E-02
413,9.12317E-02
414,9.30228E-02
415,9.48491E-02
416,9.67112E-02
417,9.86099E-02
418,1.00546E-01
419,1.02520E-01
420,1.04533E-01
421,1.06585E-01
422,1.08677E-01
423,1.10811E-01
424,1.12986E-01
425,1.15205E-01
426,1.17466E-01
427,1.19773E-01
428,1.22124E-01
429,1.24522E-01
430,1.26966E-01
431,1.29459E-01
432,1.32001E-01
433,1.34592E-01
434,1.37235E-01
435,1.39929E-01
436,1.42676E-01
437,1.45477E-01
438,1.48333E-01
439,1.51245E-01
440,1.54215E-01
441,1.57242E-01
442,1.60329E-01
443,1.63477E-01
444,1.66686E-01
445,1.69959E-01
446,1.73296E-01
447,1.76698E-01
448,1.80167E-01
449,1.83704E-01
450,1.87311E-01
451,1.90988E-01
452,1.94738E-01
453,1.98561E-01
454,2.02459E-01
455,2.06434E-01
456,2.10487E-01
457,2.14619E-01
458,2.18833E-01
459,2.23129E-01
460,2.27509E-01
461,2.31976E-01
462,2.36530E-01
463,2.41174E-01
464,2.45909E-01
465,2.50737E-01
466,2.55659E-01
467,2.60679E-01
468,2.65796E-01
469,2.71015E-01
470,2.76335E-01
471,2.81761E-01
472,2.87292E-01
473,2.92932E-01
474,2.98683E-01
475,3.04547E-01
476,3.10526E-01
477,3.16623E-01
478,3.22839E-01
479,3.29177E-01
480,3.35640E-01
481,3.42229E-01
482,3.48948E-01
483,3.55799E-01
484,3.62784E-01
485,3.69906E-01
486,3.77169E-01
487,3.84573E-01
488,3.92124E-01
489,3.99822E-01
490,4.07671E-01
491,4.15675E-01
492,4.23836E-01
493,4.32157E-01
494,4.40641E-01
495,4.49292E-01
496,4.58113E-01
497,4.67107E-01
498,4.76277E-01
499,4.85628E-01
500,4.95162E-01
