"bin","f  "
320,3.49000E-04
321,3.50000E-04
322,3.51000E-04
323,3.52000E-04
324,3.53000E-04
325,3.54000E-04
326,3.55000E-04
327,3.56000E-04
328,3.57000E-04
329,3.58000E-04
330,3.59000E-04
331,3.60000E-04
332,3.61000E-04
333,3.62000E-04
334,3.63000E-04
335,3.64000E-04
336,3.65000E-04
337,3.66000E-04
338,3.67000E-04
339,3.68000E-04
340,3.69000E-04
341,3.70000E-04
342,3.71000E-04
343,3.72000E-04
344,3.73000E-04
345,3.74000E-04
346,3.75000E-04
347,3.76000E-04
348,3.77000E-04
349,3.78000E-04
350,3.79000E-04
351,3.80000E-04
352,3.81000E-04
353,3.82000E-04
354,3.83000E-04
355,3.84000E-04
356,3.85000E-04
357,3.86000E-04
358,3.87000E-04
359,3.88000E-04
360,3.89000E-04
361,3.90000E-04
362,3.91000E-04
363,3.92000E-04
364,3.93000E-04
365,3.94000E-04
366,3.95000E-04
367,3.96000E-04
368,3.97000E-04
369,3.98000E-04
370,3.99000E-04
371,4.00000E-04
372,4.01000E-04
373,4.02000E-04
374,4.03000E-04
375,4.04000E-04
376,4.05000E-04
377,4.06000E-04
378,4.07000E-04
379,4.08000E-04
380,4.09000E-04
381,4.10000E-04
382,4.11000E-04
383,4.12000E-04
384,4.13000E-04
385,4.14000E-04
386,4.15000E-04
387,4.16000E-04
388,4.17000E-04
389,4.18000E-04
390,4.19000E-04
391,4.20000E-04
392,4.21000E-04
393,4.22000E-04
394,4.23000E-04
395,4.24000E-04
396,4.25000E-04
397,4.26000E-04
398,4.27000E-04
399,4.28000E-04
400,4.29000E-04
401,4.30000E-04
402,4.31000E-04
403,4.32000E-04
404,4.33000E-04
405,4.34000E-04
406,4.35000E-04
407,4.36000E-04
408,4.37000E-04
409,4.38000E-04
410,4.39000E-04
411,4.40000E-04
412,4.41000E-04
413,4.42000E-04
414,4.43000E-04
415,4.44000E-04
416,4.45000E-04
417,4.46000E-04
418,4.47000E-04
419,4.48000E-04
420,4.49000E-04
421,4.50000E-04
422,4.51000E-04
423,4.52000E-04
424,4.53000E-04
425,4.54000E-04
426,4.55000E-04
427,4.56000E-04
428,4.57000E-04
429,4.58000E-04
430,4.59000E-04
431,4.60000E-04
432,4.61000E-04
433,4.62000E-04
434,4.63000E-04
435,4.64000E-04
436,4.65000E-04
437,4.66000E-04
438,4.67000E-04
439,4.68000E-04
440,4.69000E-04
441,4.70000E-04
442,4.71000E-04
443,4.72000E-04
444,4.73000E-04
445,4.74000E-04
446,4.75000E-04
447,4.76000E-04
448,4.77000E-04
449,4.78000E-04
450,4.79000E-04
451,4.80000E-04
452,4.81000E-04
453,4.82000E-04
454,4.83000E-04
455,4.84000E-04
456,4.85000E-04
457,4.86000E-04
458,4.87000E-04
459,4.88000E-04
460,4.89000E-04
461,4.90000E-04
462,4.91000E-04
463,4.92000E-04
464,4.93000E-04
465,4.94000E-04
466,4.95000E-04
467,4.96000E-04
468,4.97000E-04
469,4.98000E-04
470,4.99000E-04
471,5.00000E-04
472,5.01000E-04
473,5.02000E-04
474,5.03000E-04
475,5.04000E-04
476,5.05000E-04
477,5.06000E-04
478,5.07000E-04
479,5.08000E-04
480,5.09000E-04
481,5.10000E-04
482,5.11000E-04
483,5.12000E-04
484,5.13000E-04
485,5.14000E-04
486,5.15000E-04
487,5.16000E-04
488,5.17000E-04
489,5.18000E-04
490,5.19000E-04
491,5.20000E-04
492,5.21000E-04
493,5.22000E-04
494,5.23000E-04
495,5.24000E-04
496,5.25000E-04
497,5.26000E-04
498,5.27000E-04
499,5.28000E-04
500,5.29000E-04
501,5.30000E-04
502,5.31000E-04
503,5.32000E-04
504,5.33000E-04
505,5.34000E-04
506,5.35000E-04
507,5.36000E-04
508,5.37000E-04
509,5.38000E-04
510,5.39000E-04
511,5.40000E-04
512,5.41000E-04
513,5.42000E-04
514,5.43000E-04
515,5.44000E-04
516,5.45000E-04
517,5.46000E-04
518,5.47000E-04
519,5.48000E-04
520,5.49000E-04
521,5.50000E-04
522,5.51000E-04
523,5.52000E-04
524,5.53000E-04
525,5.54000E-04
526,5.55000E-04
527,5.56000E-04
528,5.57000E-04
529,5.58000E-04
530,5.59000E-04
531,5.60000E-04
532,5.61000E-04
533,5.62000E-04
534,5.63000E-04
535,5.64000E-04
536,5.65000E-04
537,5.66000E-04
538,5.67000E-04
539,5.68000E-04
540,5.69000E-04
541,5.70000E-04
542,5.71000E-04
543,5.72000E-04
544,5.73000E-04
545,5.74000E-04
546,5.75000E-04
547,5.76000E-04
548,5.77000E-04
549,5.78000E-04
550,5.79000E-04
551,5.80000E-04
552,5.81000E-04
553,5.82000E-04
554,5.83000E-04
555,5.84000E-04
556,5.85000E-04
557,5.86000E-04
558,5.87000E-04
559,5.88000E-04
560,5.89000E-04
561,5.90000E-04
562,5.91000E-04
563,5.92000E-04
564,5.93000E-04
565,5.94000E-04
566,5.95000E-04
567,5.96000E-04
568,5.97000E-04
569,5.98000E-04
570,5.99000E-04
571,6.00000E-04
572,6.01000E-04
573,6.02000E-04
574,6.03000E-04
575,6.04000E-04
576,6.05000E-04
577,6.06000E-04
578,6.07000E-04
579,6.08000E-04
580,6.09000E-04
581,6.10000E-04
582,6.11000E-04
583,6.12000E-04
584,6.13000E-04
585,6.14000E-04
586,6.15000E-04
587,6.16000E-04
588,6.17000E-04
589,6.18000E-04
590,6.19000E-04
591,6.20000E-04
592,6.21000E-04
593,6.22000E-04
594,6.23000E-04
595,6.24000E-04
596,6.25000E-04
597,6.26000E-04
598,6.27000E-04
599,6.28000E-04
600,6.29000E-04
601,6.30000E-04
602,6.31000E-04
603,6.32000E-04
604,6.33000E-04
605,6.34000E-04
606,6.35000E-04
607,6.36000E-04
608,6.37000E-04
609,6.38000E-04
610,6.39000E-04
611,6.40000E-04
612,6.41000E-04
613,6.42000E-04
614,6.43000E-04
615,6.44000E-04
616,6.45000E-04
617,6.46000E-04
618,6.47000E-04
619,6.48000E-04
620,6.49000E-04
621,6.50000E-04
622,6.51000E-04
623,6.52000E-04
624,6.53000E-04
625,6.54000E-04
626,6.55000E-04
627,6.56000E-04
628,6.57000E-04
629,6.58000E-04
630,6.59000E-04
631,6.60000E-04
632,6.61000E-04
633,6.62000E-04
634,6.63000E-04
635,6.64000E-04
636,6.65000E-04
637,6.66000E-04
638,6.67000E-04
639,6.68000E-04
640,6.69000E-04
641,6.70000E-04
642,6.71000E-04
643,6.72000E-04
644,6.73000E-04
645,6.74000E-04
646,6.75000E-04
647,6.76000E-04
648,6.77000E-04
649,6.78000E-04
650,6.79000E-04
651,6.80000E-04
652,6.81000E-04
653,6.82000E-04
654,6.83000E-04
655,6.84000E-04
656,6.85000E-04
657,6.86000E-04
658,6.87000E-04
